Removed Pin From Net: NetName=GND Pin=C17-1
Removed Pin From Net: NetName=+12V-2 Pin=C17-2
Removed Pin From Net: NetName=GND Pin=C22-2
Removed Pin From Net: NetName=GND Pin=C24-2
Removed Pin From Net: NetName=GND Pin=C86-1
Removed Pin From Net: NetName=F50 Pin=D5-2
Removed Pin From Net: NetName=GND Pin=D27-1
Removed Pin From Net: NetName=GND Pin=Q4-3
Removed Pin From Net: NetName=+5V Pin=R14-2
Removed Pin From Net: NetName=CP2 Pin=R21-2
Removed Pin From Net: NetName=+12V-2 Pin=R24-1
Removed Pin From Net: NetName=+12V-2 Pin=R26-2
Removed Pin From Net: NetName=GND Pin=R28-2
Removed Pin From Net: NetName=GND Pin=R41-2
Removed Pin From Net: NetName=GND Pin=R46-1
Removed Pin From Net: NetName=+12V-2 Pin=R47-1
Removed Pin From Net: NetName=+12V-2 Pin=R50-1
Removed Pin From Net: NetName=GND Pin=R70-1
Removed Pin From Net: NetName=GND Pin=U15-4
Removed Pin From Net: NetName=+12V-2 Pin=U15-8
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=C17
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=C22
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=C24
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=C86
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=D5
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=D27
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=Q4
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R14
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R21
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R24
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R26
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R28
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R39
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R41
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R46
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R47
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R48
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R50
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=R70
Removed Member From Class: ClassName=U_03 METER&PWM&KEY Member=U15
